單字編號,漢字,假名拼音(分別),假名拼音,重音,詞性,中文意思,常用例句 1日,常用例句 1中,常用例句 2日,常用例句 2中,常用例句 1題目,常用例句 1答案,常用例句 2題目,常用例句 2答案
134,エネルギー,エネルギー,エネルギー,[2],名詞,能量/能源,エネルギーを節約する。,節約能源。,太陽エネルギー。,太陽能。,（　　　　　）を節約する。,エネルギー,太陽（　　　　　）。,エネルギー
135,偉い,えら.い,えらい,[2],い形,了不起/偉大,偉い学者。,了不起的學者。,偉そうにする。,擺出自以為很了不起的樣子。,（　　　）学者。,偉い,（　　　）そうにする。,偉
136,得る,え.る/う.る,える/うる,[1],他動二,得到/獲得,知識を得る。,獲得知識。,許可を得る。,取得許可。,知識を（　　）。,得る,許可を（　　）。,得る
137,円,えん,えん,[1],名詞,圓/日圓,100円のペン。,100日圓的筆。,円を描く。,畫一個圓。,100（　　）のペン。,円,（　　）を描く。,円
138,延期,えん.き,えんき,[0],名詞/他動三,延期,試合が延期になる。,比賽延期。,出発を延期する。,將出發時間延期。,試合が（　　　）になる。,延期,出発を（　　　）する。,延期
139,演技,えん.ぎ,えんぎ,[1],名詞/自動三,演技/表演,素晴らしい演技。,出色的演技。,演技が上手い。,演技很好。,素晴らしい（　　　）。,演技,（　　　）が上手い。,演技
140,援助,えん.じょ,えんじょ,[1],名詞/他動三,援助/支援,資金を援助する。,援助資金。,援助を求める。,尋求援助。,資金を（　　　　）する。,援助,（　　　　）を求める。,援助
141,エンジン,エンジン,エンジン,[1],名詞,引擎,車のエンジンをかける。,發動汽車引擎。,エンジンが止まる。,引擎熄火。,車の（　　　　）をかける。,エンジン,（　　　　）が止まる。,エンジン
142,演説,えん.ぜつ,えんぜつ,[0],名詞/自動三,演說,選挙の演説をする。,進行選舉演說。,街頭演説。,街頭演說。,選挙の（　　　　）をする。,演説,街頭（　　　　）。,演説
143,演奏,えん.そう,えんそう,[0],名詞/他動三,演奏,ピアノを演奏する。,演奏鋼琴。,生演奏を聴く。,聽現場演奏。,ピアノを（　　　　）する。,演奏,生（　　　　）を聴く。,演奏
144,甥,おい,おい,[0],名詞,姪子/外甥,甥と一緒に遊ぶ。,和姪子一起玩。,甥が生まれた。,姪子出生了。,（　　）と一緒に遊ぶ。,甥,（　　）が生まれた。,甥
145,追いかける,お.い.か.ける,おいかける,[4],他動二,追趕/追逐,泥棒を追いかける。,追趕小偷。,夢を追いかける。,追逐夢想。,泥棒を（　　　　　）。,追いかける,夢を（　　　　　）。,追いかける
146,追い越す,お.い.こ.す,おいこす,[3],他動一,超越/趕過,前の車を追い越す。,超越前面的車。,兄の背を追い越す。,身高超過了哥哥。,前の車を（　　　　）。,追い越す,兄の背を（　　　　）。,追い越す
147,追い付く,お.い.つ.く,おいつく,[3],自動一,追上/趕上,前を走る人に追い付く。,追上前方的跑者。,時代に追い付く。,趕上時代的腳步。,前を走る人に（　　　　）。,追い付く,時代に（　　　　）。,追い付く
148,追う,お.う,おう,[0],他動一,追趕/追求,犯人を追う。,追捕犯人。,流行を追う。,盲從流行。,犯人を（　　）。,追う,流行を（　　）。,追う
149,応援,おう.えん,おうえん,[0],名詞/他動三,加油/聲援/支援,チームを応援する。,為隊伍加油。,応援を呼ぶ。,呼叫支援。,チームを（　　　　）する。,応援,（　　　　）を呼ぶ。,応援
150,王様,おう.さま,おうさま,[0],名詞,國王,昔、あるところに王様がいました。,從前，某個地方有位國王。,ライオンは百獣の王様だ。,獅子是百獸之王。,昔、あるところに（　　　）がいました。,王様,ライオンは百獣の（　　　）だ。,王様
151,王子,おう.じ,おうじ,[1],名詞,王子,王子が城に住んでいる。,王子住在城堡裡。,白馬の王子様。,白馬王子。,（　　）が城に住んでいる。,王子,白馬の（　　）様。,王子
152,応じる,おう.じる,おうじる,[3],自動二,響應/答應,期待に応じる。,回應期待。,質問に応じる。,回答問題。,期待に（　　）。,応じる,質問に（　　）。,応じる
153,往復,おう.ふく,おうふく,[0],名詞/自動三,往返,往復切符を買う。,買來回票。,会社と家を往復する。,在公司與家之間往返。,（　　）切符を買う。,往復,会社と家を（　　）する。,往復
154,応募,おう.ぼ,おうぼ,[0],名詞/自動三,應徵/報名,コンテストに応募する。,報名參加比賽。,求人に応募する。,應徵求才。,コンテストに（　　）する。,応募,求人に（　　）する。,応募
155,終える,お.える,おえる,[0],他動二,結束/完成,仕事を終える。,完成工作。,学校を終える。,結束學業。,仕事を（　　）。,終える,学校を（　　）。,終える
156,大いに,おお.いに,おおいに,[1],程度副詞,非常/大大地,大いに喜ぶ。,非常高興。,大いに役立つ。,幫了很大的忙。,（　　）喜ぶ。,大いに,（　　）役立つ。,大いに
157,大家,おお.や,おおや,[1],名詞,房東,アパートの大家さん。,公寓的房東。,大家さんに家賃を払う。,付房租給房東。,アパートの（　　）さん。,大家,（　　）さんに家賃を払う。,大家
158,丘,おか,おか,[0],名詞,山丘,丘の上に立つ。,站在山丘上。,なだらかな丘。,平緩的山丘。,（　　）の上に立つ。,丘,なだらかな（　　）。,丘
159,沖縄,おき.なわ,おきなわ,[0],名詞,沖繩,沖縄へ旅行に行く。,去沖繩旅行。,沖縄の海は美しい。,沖繩的海很美。,（　　）へ旅行に行く。,沖縄,（　　）の海は美しい。,沖縄
160,奥,おく,おく,[1],名詞,深處/內部,引き出しの奥。,抽屜的深處。,森の奥へ進む。,朝森林深處前進。,引き出しの（　　）。,奥,森の（　　）へ進む。,奥
161,屋外,おく.がい,おくがい,[2],名詞,室外/戶外,屋外で遊ぶ。,在室外玩。,屋外のイベント。,戶外的活動。,（　　）で遊ぶ。,屋外,（　　）のイベント。,屋外
162,贈る,おく.る,おくる,[0],他動一,贈送,プレゼントを贈る。,贈送禮物。,花束を贈る。,贈送花束。,プレゼントを（　　）。,贈る,花束を（　　）。,贈る
163,起こる,おこ.る,おこる,[2],自動一,發生,地震が起こる。,發生地震。,問題が起こる。,發生問題。,地震が（　　）。,起こる,問題が（　　）。,起こる
164,押さえる,おさ.える,おさえる,[3],他動二,壓住/按住,ドアを押さえる。,按住門。,感情を押さえる。,壓抑感情。,ドアを（　　）。,押さえる,感情を（　　）。,押さえる
165,幼い,おさな.い,おさない,[3],い形,幼小的/幼稚的,幼い子供。,年幼的孩子。,考えが幼い。,想法幼稚。,（　　）子供。,幼い,考えが（　　）。,幼い
166,お辞儀,お.じ.ぎ,おじぎ,[0],名詞/自動三,鞠躬,深々とお辞儀する。,深深地鞠躬。,丁寧にお辞儀をする。,恭敬地鞠躬。,深々と（　　）する。,お辞儀,丁寧に（　　）をする。,お辞儀
167,お住まい,お.すま.い,おすまい,[2],名詞,住所(敬語),お住まいはどちらですか。,您的住所是哪裡呢？,立派なお住まいですね。,真是氣派的住所呢。,（　　）はどちらですか。,お住まい,立派な（　　）ですね。,お住まい
168,汚染,お.せん,おせん,[0],名詞/自動三/他動三,汙染,環境汚染が進む。,環境汙染加劇。,水質が汚染される。,水質受到汙染。,環境（　　）が進む。,汚染,水質が（　　）される。,汚染
169,おそらく,おそ.らく,おそらく,[2],陳述副詞,恐怕/大概,おそらく雨が降るだろう。,大概會下雨吧。,おそらく彼が勝つ。,恐怕是他會贏。,（　　）雨が降るだろう。,おそらく,（　　）彼が勝つ。,おそらく
170,恐れ,おそ.れ,おそれ,[3],名詞,恐懼/擔憂,失敗の恐れがある。,有失敗的風險。,恐れを知らない。,不知恐懼。,失敗の（　　）がある。,恐れ,（　　）を知らない。,恐れ
171,恐ろしい,おそろ.しい,おそろしい,[4],い形,可怕的,恐ろしい夢を見た。,做了可怕的夢。,恐ろしい事件。,可怕的事件。,（　　）夢を見た。,恐ろしい,（　　）事件。,恐ろしい
172,お互い,お.たが.い,おたがい,[0],名詞/代名詞,互相/彼此,お互いに助け合う。,互相幫助。,お互いの意見を聞く。,聽取彼此的意見。,（　　）に助け合う。,お互い,（　　）の意見を聞く。,お互い
173,穏やか,おだ.やか,おだやか,[2],な形,平穩/溫和,穏やかな気候。,溫和的氣候。,穏やかな人柄。,溫和的性格。,（　　）な気候。,穏やか,（　　）な人柄。,穏やか
174,お年玉,お.とし.だま,おとしだま,[0],名詞,壓歲錢,お年玉をもらう。,收到壓歲錢。,子供にお年玉をあげる。,給孩子壓歲錢。,（　　）をもらう。,お年玉,子供に（　　）をあげる。,お年玉
175,お年寄り,お.とし.よ.り,おとしより,[0],名詞,老年人,お年寄りに席を譲る。,讓座給老年人。,お年寄りを大切にする。,敬重老年人。,（　　）に席を譲る。,お年寄り,（　　）を大切にする。,お年寄り
176,大人しい,おとな.しい,おとなしい,[4],い形,溫順的/老實的,大人しい性格。,溫順的性格。,犬が大人しく座っている。,狗乖乖地坐著。,（　　）性格。,大人しい,犬が（　　）く座っている。,大人しい
177,鬼,おに,おに,[2],名詞,鬼/惡魔,鬼の面をかぶる。,戴上鬼的面具。,仕事の鬼になる。,成為工作狂。,（　　）の面をかぶる。,鬼,仕事の（　　）になる。,鬼
178,溺れる,おぼ.れる,おぼれる,[0],自動二,溺水/沉迷,海で溺れる。,在海裡溺水。,お酒に溺れる。,沉迷於酒精。,海で（　　）。,溺れる,お酒に（　　）。,溺れる
179,お前,お.まえ,おまえ,[0],代名詞,你(粗俗/親密),お前のせいだ。,都是你的錯。,お前はどう思う？,你覺得呢？,（　　）のせいだ。,お前,（　　）はどう思う？,お前
180,お目に掛かる,お.め.に.かか.る,おめにかかる,[0],慣用/自動一,見面(謙讓語),先生にお目に掛かる。,拜見老師。,ぜひお目に掛かる機会を作りたい。,務必希望能創造見面的機會。,先生に（　　）。,お目に掛かる,ぜひ（　　）機会を作りたい。,お目に掛かる
181,思い出,おも.い.で,おもいで,[0],名詞,回憶,楽しい思い出。,快樂的回憶。,思い出を作る。,製造回憶。,楽しい（　　）。,思い出,（　　）を作る。,思い出
182,思わず,おも.わず,おもわず,[2],情態副詞,不由得/不禁,思わず笑ってしまう。,不禁笑了出來。,思わず声を上げる。,不由得發出聲音。,（　　）笑ってしまう。,思わず,（　　）声を上げる。,思わず
